COD_FOTO_R	COD_CRUCE_	NOMBRE	FECHA_DENU	UTM_X	UTM_Y
724	701	ALBERTO AGUILERA - BALTASAR GRACIÁN	26/09/2016	439,697.11	4,475,730.96
1471	702	AVDA. AMERICA - CARTAGENA	26/09/2016	442,927.54	4,476,728.35
1469	704	AVDA. CIUDAD BARCELONA - MENÉNDEZ PELAYO	02/02/2016	442,264.49	4,472,835.47
539	701	AVDA. FILIPINAS, 18	08/12/2009	439,774.02	4,476,846.37
541	704	AVDA. ILUSTRACIÓN - BETANZOS	30/11/2009	439,643.33	4,481,335.97
769	702	AVDA. MEDITERRÁNEO, 32	12/12/2011	442,886.68	4,473,142.79
1547	703	CEA BERMÚDEZ - VALLEHERMOSO	02/02/2016	439,896.40	4,476,708.97
770	701	FRANCISCO SILVELA, 62	12/12/2011	442,747.54	4,476,282.08
1551	704	FRANCISCO SILVELA, 99		442,354.20	4,476,759.67
1550	703	JOAQUIN COSTA, 36		442,232.35	4,476,921.09
728	701	JOAQUIN COSTA - VELAZQUEZ	26/09/2016	442,051.85	4,477,144.55
1468	702	JOSE ABASCAL - SANTA ENGRACIA	02/02/2016	440,561.57	4,476,668.95
768	701	MENÉNDEZ PELAYO - NIÑO JESÚS	23/02/2012	442,516.73	4,474,002.28
1470	706	MONFORTE DE LEMOS - FINISTERRE	26/09/2016	440,473.44	4,481,252.09
618	702	O'DONNELL CARRIL CENTRAL	08/07/2010	443,315.10	4,474,707.54
439	702	PO CASTELLANA, 105	30/11/2009	441,447.02	4,478,449.26
545	701	PO CASTELLANA, 167	26/10/2006	441,514.60	4,479,282.59
746	703	SINESIO DELGADO GTA P, CEBRERO	30/06/2014	439,714.24	4,480,306.29